"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","fnames","UCC_ID","quad","r_50","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","Plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","dups_fnames_m","dups_probs_m"
"KHARCHENKO2012","205","Loden 1101",209.542,-61.75,310.7412,0.1058,"nan","nan","nan","loden1101","UCC G310.7+00.1","Q4P",6.6,0.89,0.45,"AC",25.0,310.705,0.096,209.48,-61.752,0.295,-7.417,-2.376,-43.328,3.0,"nan","nan"
"BICA2019","3189","Teutsch 239",209.7269,-62.0433,310.75,-0.2,"nan","nan","nan","teutsch239","UCC G310.7-00.2","Q4N",2.8,0.75,0.27,"BC",0.0,310.734,-0.208,209.693,-62.055,0.381,-6.179,-2.688,-31.812,5.0,"nan","nan"
"HE2023_1","1593","CWNU 4426",207.9247,-58.4694,310.7586,3.4836,0.175,-7.162,-2.141,"cwnu4426","UCC G310.7+03.4","Q4P",2.5,0.09,0.41,"DC",0.0,310.773,3.479,207.954,-58.468,0.182,-7.198,-2.062,-54.255,1.0,"nan","nan"
"BICA2019","2087","Bica 490",209.627,-61.8281,310.76,0.02,"nan","nan","nan","bica490","UCC G310.7+00.0","Q4P",6.9,0.71,0.43,"BC",41.0,310.77,0.027,209.663,-61.815,0.345,-7.426,-2.414,-43.328,1.0,"nan","nan"
"HUNT2023","3715","HSC 2625",208.9756,-60.541,310.7804,1.3447,0.517,-3.774,-1.65,"hsc2625","UCC G310.7+01.3","Q4P",12.3,0.79,0.55,"AB",61.0,310.776,1.344,208.978,-60.543,0.5,-3.768,-1.62,-4.046,8.0,"nan","nan"
"BICA2019","2088","LS 125;La Serena 125",209.6477,-61.6703,310.81,0.17,"nan","nan","nan","ls125;laserena125","UCC G310.8+00.1","Q4P",2.0,1.0,0.67,"AB",145.0,310.817,0.161,209.665,-61.677,0.252,-6.106,-2.397,-40.239,10.0,"cwnu3943;sai120","0.92;0.85"
"HE2023_1","1079","CWNU 3943",209.6565,-61.6754,310.8127,0.164,0.217,-6.101,-2.414,"cwnu3943","UCC G310.8+00.1a","Q4P",2.8,1.0,0.65,"AB",163.0,310.819,0.161,209.67,-61.678,0.261,-6.105,-2.397,-39.651,9.0,"ls125;sai120","0.92;0.91"
"GLUSHKOVA2010","159","SAI 120",209.675,-61.6689,310.8229,0.168,"nan","nan","nan","sai120","UCC G310.8+00.1b","Q4P",1.4,1.0,0.52,"AB",309.0,310.818,0.161,209.669,-61.676,0.271,-6.107,-2.39,-40.226,12.0,"cwnu3943;ls125","0.91;0.85"
"DAMBIS1999;KHARCHENKO2012;LOKTIN2017;BICA2019;BOSSINI2019;CANTAT2020;DIAS2021;JAEHNIG2021;HUNT2023;CAVALLO2024","47;192;457;2089;54;718;747;110;4193;3565","Lynga 1;OCL 914;ESO 133 10;MWSC 2193",209.994,-62.152,310.8424,-0.3375,0.422,-5.303,-2.274,"lynga1;ocl914;eso13310;mwsc2193","UCC G310.8-00.3","Q4N",6.3,0.78,0.77,"AA",105.0,310.846,-0.342,210.0,-62.152,0.437,-5.361,-2.257,-24.668,5.0,"nan","nan"
"HAO2022","602","OC 0604",211.39,-64.1551,310.9029,-2.4365,0.608,-7.052,-3.527,"oc0604","UCC G310.9-02.4","Q4N",7.1,0.59,0.58,"BB",21.0,310.887,-2.462,211.434,-64.185,0.615,-7.074,-3.477,-26.373,2.0,"theia5496;cwnu308","0.83;0.4"
