"UCC_ID","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","N_50","r_50","C3","shared_members","shared_members_perc"
"UCC G288.9+00.8","Majaess 135",164.8958,-59.0006,289.004,0.804,0.284,-3.83,-0.147,"nan",0.0,20.0,6.6,"DC","nan","nan"
"UCC G288.9-02.3","CWWDL 4199",162.093,-61.8566,288.923,-2.335,0.258,-5.203,2.165,11.624,3.0,12.0,8.4,"DC","nan","nan"
"UCC G288.9+00.3","OC 0551",164.5084,-59.4435,288.955,0.319,0.187,-5.899,1.968,17.465,1.0,27.0,1.0,"CA","nan","nan"
"UCC G288.9+00.0a","CWNU 3337",164.2864,-59.6894,288.953,0.038,0.199,-4.567,2.139,15.197,10.0,65.0,2.0,"BA","hsc2386","93.8"
"UCC G288.9+00.2","CWNU 4331",164.4353,-59.55,289.013,0.198,0.229,-7.203,3.033,"nan",0.0,21.0,3.8,"AC","nan","nan"
"UCC G288.9-01.8","UBC 507",162.594,-61.437,288.991,-1.897,0.151,-6.461,2.953,"nan",0.0,64.0,3.1,"AA","nan","nan"
"UCC G288.9+00.6","CWNU 3055",164.8548,-59.1112,288.988,0.691,0.135,-6.579,2.035,3.79,1.0,28.0,1.4,"DB","nan","nan"
"UCC G288.9-01.0","CWWDL 1416",163.3603,-60.7057,288.991,-1.097,0.22,-7.068,2.841,13.655,3.0,14.0,5.3,"CC","nan","nan"
"UCC G288.9+00.9","CWNU 2998",165.1163,-58.8438,288.993,0.995,0.096,-6.296,2.216,21.621,2.0,107.0,1.4,"AC","nan","nan"
"UCC G289.0-05.5","HSC 2388",158.8424,-64.6412,288.955,-5.51,0.805,-6.957,2.625,9.326,4.0,21.0,10.7,"AC","nan","nan"
"UCC G289.0-01.0","UBC 1488",163.4441,-60.6753,289.013,-1.018,0.267,-8.208,2.701,3.441,9.0,65.0,2.9,"AB","cwwdl5178","53.8"
"UCC G289.0-01.0a","CWWDL 5178",163.45,-60.6812,289.003,-1.016,0.274,-8.163,2.69,3.958,6.0,48.0,2.6,"AB","ubc1488","72.9"
"UCC G289.0+00.0","HSC 2389",164.3791,-59.7271,289.024,0.029,0.166,-6.205,2.991,25.553,1.0,27.0,0.9,"AB","cwnu3035","100.0"
"UCC G289.0+00.0a","CWNU 3035",164.3874,-59.7366,289.027,0.026,0.149,-6.223,2.953,14.054,3.0,92.0,1.4,"AB","hsc2389","29.3"
"UCC G289.0-00.8a","Theia 1844",163.6393,-60.5487,289.048,-0.857,0.368,-7.374,2.322,-5.258,1.0,32.0,2.5,"BB","ubc1489","90.6"
"UCC G289.0-00.8","UBC 1489",163.72,-60.54,289.048,-0.853,0.37,-7.37,2.321,-5.258,1.0,32.0,2.4,"AA","theia1844","90.6"
"UCC G289.0-02.3","CWNU 3256",162.4125,-61.8663,289.096,-2.308,0.102,-5.263,2.485,37.567,5.0,66.0,2.8,"AB","nan","nan"
"UCC G289.0-00.9","UBC 1490",163.6802,-60.6393,289.096,-0.944,0.207,-7.38,2.984,"nan",0.0,23.0,3.1,"AB","nan","nan"
"UCC G289.1+00.3","Turner 6",164.7938,-59.5136,289.152,0.294,0.126,-6.011,2.12,51.24,6.0,87.0,1.2,"AA","teutsch106","92.0"
"UCC G289.1-00.6","ASCC 63;MWSC 1869",163.98,-60.415,289.194,-0.69,0.149,-5.242,2.278,17.941,4.0,20.0,1.8,"BA","ubc508","68.0"
"UCC G289.1-01.7","CWWDL 826",163.0454,-61.3562,289.164,-1.692,0.229,-6.208,2.415,15.209,1.0,18.0,6.6,"CC","nan","nan"
"UCC G289.1+00.3a","UBC 1491",164.89,-59.45,289.108,0.405,0.196,-5.128,1.997,"nan",0.0,30.0,4.0,"AB","nan","nan"
"UCC G289.1+00.2","Teutsch 106;DSH J1059.3-5932;FSR 1559;MWSC 1877",164.836,-59.557,289.152,0.291,0.126,-5.991,2.114,49.348,7.0,150.0,1.3,"AB","turner6","53.3"
"UCC G289.1+00.4","CWNU 3552",164.9793,-59.4222,289.166,0.441,0.186,-6.991,2.467,"nan",0.0,35.0,2.4,"CB","nan","nan"
"UCC G289.1-01.6","HSC 2392",163.2326,-61.291,289.193,-1.617,0.17,-4.882,1.786,2.072,1.0,22.0,1.6,"AA","cwnu3364","96.0"
"UCC G289.1-01.6a","CWNU 3364",163.2458,-61.2862,289.193,-1.614,0.172,-4.881,1.791,2.072,1.0,22.0,1.3,"AB","hsc2392","96.0"
"UCC G289.1+02.1","OC 0552",166.3277,-57.9064,289.237,1.95,2.079,-10.338,5.287,5.441,18.0,24.0,23.6,"BB","ngc3532","100.0"
